brand,interaction_impact
1585,0.0062621981894435295
102,0.004351035292017009
1592,0.03312820512820465
1341,0.1426907423115048
1933,0.008355019118691576
1996,0.008463134469188508
835,0.009899625163770038
1427,0.0030098572554098993
1315,0.007897607111903626
135,0.10047171869905991
1064,0.004761766316939602
331,0.009320908243489367
1188,0.04152980315441683
1365,0.05890905210351016
1815,0.020666505550318806
1772,0.2065650494729892
1259,0.21245080500894697
1580,0.008565261013439962
121,0.03399417872839607
1512,0.05093825705262666
1044,0.08014680846802548
1767,0.051327007231557475
34,0.1981741594872928
1679,0.03703703703703051
220,0.04828764119853464
1435,0.003790100781360488
291,0.033067541078404594
2029,0.01036283204065846
923,0.10894330824154932
1057,0.021118266638267814
1465,0.010670610063542096
873,0.02255894152869336
1146,0.00794005087212779
730,0.0375414953744101
115,0.028249753056158275
314,0.12574081823476446
1601,0.05087086655557846
856,0.019848496890181217
540,0.02303552966986222
959,0.00028536462118478045
432,0.01729058322379869
188,0.1843503310481962
178,0.04833333333333309
484,0.0730771310888356
1448,0.050007642159560925
894,0.09864592741999187
1372,0.01765357779764409
355,0.006310068083886202
1972,0.16617088293870227
1478,0.16962359126255605
1791,0.01753857383005488
63,0.03246621821676063
136,0.014850584962881087
689,0.10433444170236063
675,0.2538759689922493
1450,0.03158419204812218
1636,3186420103949.411
688,0.05767921340572947
887,0.007411917577025154
1457,0.15992239467849184
1221,0.008648015084340079
96,0.0035821562425962516
1497,0.044666008149154855
1449,0.23658008658008722
1167,0.04854101459467221
978,0.015741787264586114
392,0.016444901699490047
2005,0.06700414444593775
118,0.012228200582410989
1736,0.07401824328880297
1425,0.04265419509107516
686,0.057726755869311155
61,0.01645701426459644
847,0.16809474893071577
1022,0.03286637211484392
459,0.049810587411659675
1417,0.06301577294449773
1366,0.16640739780486064
68,0.04612383001001514
404,0.005638301597710704
1102,0.1795443320943067
1686,0.1646026474701469
1527,0.055391608298959207
1306,312081997653.37213
2026,0.07941176470588478
413,0.028139444372575446
99,0.03152195911758858
1816,0.06495773883933564
349,0.501740619052175
1748,0.1292689063808522
344,0.07224948347107078
1728,0.30295101553166026
316,0.10158740449177907
902,0.013162688141113127
79,0.012208983895287503
213,0.010669975186104361
184,0.11071453561040037
441,0.04016897437255074
665,0.07498523151515564
353,0.10908437481664068
1597,0.2638168300738678
228,0.06825499830042364
57,0.39525191180443914
917,0.0008918449096816401
581,0.2622496680572878
775,0.0030294127298218024
502,0.06107735956570633
1845,0.09378445857083635
1993,9872220886918.258
2027,0.18335901386748804
1825,0.002928549430933715
1126,0.05820261919363236
862,5038053029596.744
1830,0.12590715082326503
1506,0.13634149730285156
1299,0.18150743343875056
993,0.09367591833613671
14,0.06610687036701456
1307,0.029557113262276332
1593,0.2752648700271579
1555,0.028417818740399066
1842,0.18612898612898698
341,0.2553184301687532
403,0.3195307108350562
1860,0.24091410333233432
1398,0.06477700838638485
1437,0.007629393191484993
164,0.16226244343891527
691,0.029813664596273055
437,0.15052790346909475
1439,0.000417279325883875
1420,0.0072092982624496135
1495,0.059425279035551164
1994,0.09557109557109522
1616,0.20467571644042332
813,0.16666666666666669
1794,0.16973990683229323
1563,0.12578019228462226
1844,0.057255439856460894
621,0.07347187701371558
2033,0.21337387683541514
197,0.2762396976741362
684,0.2701151062738618
666,0.22112960796967052
101,0.0328014184397167
1262,0.06850305357447153
1866,0.4514151558627899
1769,0.16221299949903698
1726,0.01928866618812019
1516,0.2099999999999994
395,0.2134475093505371
1452,0.12622684333209924
1646,0.19727891156462468
918,0.28335016835016835
374,0.16123680241326938
1079,0.07319995781351801
680,0.03975878121032388
1805,0.04006849315068246
153,0.3242792792792797
92,0.009615384615384557
1524,0.11017136539524655
1258,0.0772089761570825
1280,0.022044109172819203
1207,0.0077777777777779476
964,0.37545787545787523
1096,0.08398247322298064
609,0.12485450354010477
216,0.00793650793650312
1466,0.011307272563899295
750,0.17816600324340243
1849,0.05170981144135234
1394,0.031024870013408465
1158,0.5059139784946236
886,0.07261208576998053
1884,0.0171185562559365
1780,0.23437499999999953
1482,0.09615989650170477
1056,0.2628691983122359
1759,0.16958041958041875
362,0.016197029690281237
137,0.2714523886978357
1873,0.03671328671328662
289,0.00888296553434137
1623,2646572171882.8794
1144,0.49607843137254887
1858,0.10664335664335643
992,0.01522246505855459
995,0.06193654670946123
1085,0.178565337101922
1510,0.05665465681859093
514,0.07691609977324286
1715,0.09082552383454204
22,0.3277777777777779
641,0.12894736842105253
1693,0.35362318840579565
1368,0.043186339522548696
174,0.15882867132867168
87,0.0940873819163321
1572,0.06391011430278586
1559,0.023046028305495403
1918,0.010984848484847626
1897,0.13023568589158974
2014,0.04761904761904759
1480,3.805501633018417e-16
706,0.06273787188421354
807,0.091968152504869
723,0.014743589743589774
624,0.36217658310681333
226,0.022110739502044126
346,0.16063777739777949
227,0.10653333251057376
447,0.1923925667828142
653,0.14060667001843977
430,0.13241172551632563
1591,0.012137863426461754
482,0.13459466117373528
1756,0.03624401913875603
1947,0.06958783513405489
1169,0.42600642600642574
11,0.027777777777777887
622,0.01979282278949289
587,0.30952380952380926
542,0.045167277011298926
1538,0.06704125615763522
271,0.3360603400111738
1782,0.12500000000000006
597,0.02934982890234298
607,0.22499999999999976
303,0.011648223645893942
1312,0.06138211382113792
7,0.20956110978235326
1625,0.008333333333333314
365,0.20389315146348386
154,0.2296897189895698
2019,0.010044642857142821
883,0.2545994356520661
1254,0.008963585434175025
767,0.3124999999999997
687,0.1350906801981988
125,0.545559947299078
1752,0.15873015873015958
1588,0.05637480798771122
1308,0.2961810494705249
541,0.7329192546583847
381,0.28028169014084503
113,0.1158730158730144
1485,0.02000000000000006
934,0.009340659340659696
1854,0.08089133089133017
701,0.011154684095859561
372,0.06920934218984343
313,0.16763194387796776
1429,0.0867873966099164
1575,0.3999999999999999
1627,0.2766385575209093
1198,0.02719558283059706
746,0.0031250000000001277
1016,0.37063492063492093
20,0.038173046996573194
78,0.22115700347124262
566,0.07146341463414638
1301,0.17571433333386136
1256,0.020532099479467925
10,0.16727272727272738
998,0.039215686274509776
533,0.8784771334276467
1061,0.14999999999999997
1069,0.14496909875060654
1058,0.2769423558897246
42,0.4285714285714295
1289,0.1539815681474543
1489,0.2125730994152074
84,0.1514437038868655
679,0.21148459383753535
1224,0.012121212121211311
857,0.05757276499317748
1898,0.009523809523810163
1753,0.09498525073746278
1896,0.35294117647058737
1128,0.15151515151515355
2015,0.18461285549893067
1818,0.13817770561869158
1548,0.005341880341880236
19,0.6589743589743567
470,0.0923333333333327
1655,0.013824884792627376
1871,0.0854614695340494
209,0.5562817719680391
1413,0.27399380804953627
539,0.0051553739427950135
366,0.01915184678522553
371,0.3457785152700401
1395,0.03655612095689283
1309,0.20123784261715272
109,0.09333333333333241
1683,0.22619047619047625
536,0.1847812301838923
523,0.2137681159420285
130,0.011486169714018016
1471,0.011363636363636447
1604,0.21363636363636376
1738,0.6041666666666672
1582,0.05172413793103429
1865,0.06195652173913117
1467,0.04629629629629625
1051,0.25530303030302937
970,0.49999999999999983
1300,0.12500000000000025
875,1.0952380952381024
798,0.20378077520934593
31,0.10185185185185154
148,0.015040650406502792
1906,0.3546511627906973
250,0.4628851540616247
1960,0.12500000000000003
2031,0.03968253968253971
649,0.2921022067363528
1007,0.5000000000000002
530,0.04294165646674799
274,0.09927884615384402
373,0.24999999999999992
1995,0.6162280701754386
1826,0.08080808080808086
1957,0.3181818181818181
249,0.14166666666666936
149,0.004796099758874961
410,0.19627426775894852
202,0.06249999999999983
190,0.2796414112203581
1438,0.11111111111111127
1122,0.2666666666666667
390,0.04090909090909067
1890,0.2140974967061925
1245,0.2797619047619043
1546,0.09523809523809595
200,0.028846153846153903
1496,0.08333333333333322
1414,0.07480519480519547
1793,0.197368421052632
286,0.3750000000000002
1765,0.01342290956587626
1606,0.19848484848484899
1605,0.02243589743589698
671,0.10833333333333331
296,0.008241758241757768
60,0.030303030303029763
770,0.04329004329004002
1284,0.4285714285714294
840,0.12021276595744687
804,1.0498500262088127e-16
1714,0.6565113500597369
231,0.020833333333333287
1342,0.011111111111111457
474,0.0833333333333332
716,0.24125874125874086
1020,0.11904761904761892
753,0.010408432147560365
1861,0.015576323987539137
2020,0.022279315898461827
1797,0.4954212454212456
1911,0.22857142857142865
50,0.1666666666666663
1038,0.6999999999999993
66,0.01666666666666666
663,0.10069444444444438
1073,1.1818181818181792
1226,0.016666666666666545
1968,0.07142857142857167
1184,0.9064814814814811
1133,0.2529729729729741
1659,0.07386363636363627
660,0.014430894308941775
1786,0.5357142857142855
1742,0.27777777777777757
594,0.0553467000835407
187,0.05769230769230797
1028,0.251932367149759
852,0.08794326241134855
1611,0.04761904761904745
1006,0.020833333333333325
1851,0.26190476190476236
1487,0.018181818181814913
330,0.2666666666666665
1945,0.20454545454545459
1179,0.0740740740740734
1403,0.04137931034482845
1225,0.048717948717948364
891,0.1363636363636366
921,0.0833333333333318
12,0.16666666666666657
481,0.008376447400837265
1013,0.33333333333333337
1288,0.12121212121212122
158,0.05555555555555526
1227,0.10416666666666516
618,0.034188034188033865
1371,0.12500000000000033
170,0.06862745098040643
1619,0.21428571428571414
639,0.10136452241715313
1084,0.2000000000000006
260,0.14285714285714193
627,0.11904761904761929
1571,0.10937500000000028
554,0.1666666666666666
1281,0.0555555555555551
965,0.06666666666666662
790,0.1555555555555555
1287,0.07291666666666294
699,1.096345236817342e-15
694,0.07692307692307696
1092,0.13157894736842102
1319,0.034246575342465765
1237,0.047619047619047616
1774,0.13235294117647028
1063,0.09090909090909091
1987,0.047619047619047616
1476,0.0694444444444447
1700,0.5000000000000002
1406,0.25000000000000017
1959,0.06666666666666662
1215,0.10256410256410317
715,0.07894736842105257
356,0.09956709956709947
955,0.07142857142857142
1553,0.028571428571428567
1708,0.13235294117647045
1507,0.014285714285713791
949,0.33333333333333337
1422,0.032258064516128435
1902,0.14285714285714285
765,0.05555555555555553
1973,0.011111111111112695
705,0.1000000000000005
1504,0.18333333333333307
830,0.05555555555555553
90,0.17083333333333323
2035,0.09287925696594185
595,0.22222222222222204
1230,0.19444444444444425
177,0.2222222222222223
1148,0.33333333333333337
890,0.17142857142857143
1451,0.08333333333333329
643,0.15789473684210506
168,0.05555555555555559
308,0.05000000000000022
1442,0.11111111111111101
9,0.25
36,0.08522727272727235
1361,0.12499999999999978
1211,0.05555555555555557
755,0.009259259259259363
278,0.33333333333333315
215,0.33333333333333337
709,0.011111111111111932
223,0.11111111111111101
1724,0.16666666666666666
1343,0.011695906432748556
1974,0.20833333333333331
427,0.1784741144414178
751,0.175
1701,0.1250000000000001
1544,0.14285714285714235
255,0.22222222222222238
1397,0.13888888888888884
1761,0.25
1000,0.09811720621659813
1525,0.02392739273927333
545,0.0833333333333333
1827,0.11111111111111106
88,0.031045751633987942
893,0.10000000000000037
1730,0.11111111111111108
606,0.0606060606060606
707,0.07471264367816094
809,0.21904761904761816
1370,0.1666666666666666
516,0.054421768707482984
320,0.08695652173913024
637,0.30952380952381076
996,0.06249999999999994
515,0.055555555555555705
1799,0.04385964912280677
233,0.11363636363636365
763,0.027777777777778068
195,0.1458333333333334
744,0.05555555555555573
669,0.22222222222222204
1180,0.07575757575757577
662,0.14285714285714288
69,0.25252525252525654
1295,0.07142857142857144
402,0.07692307692307723
1380,0.08333333333333329
1094,0.07407407407407406
1152,0.15702479338842973
324,0.16666666666666657
1071,0.049999999999999996
26,0.06521739130434777
1792,0.024725274725274797
268,0.14102564102564097
463,0.03571428571428571
794,0.1034482758620693
682,0.08333333333333329
262,0.08464719565779275
1430,0.1590909090909091
626,0.031249999999999813
205,0.051282051282051246
422,0.12820512820512825
984,0.26923076923076933
638,0.06666666666666675
454,0.08695652173913042
438,0.18181818181818182
246,0.23287671232876717
480,0.051282051282051294
1807,0.08888888888888893
1320,0.15625000000000067
1985,0.24999999999999997
433,0.12280701754385968
896,0.05555555555555557
1232,0.08333333333333327
1735,0.2355769230769224
1328,0.06349206349206346
1853,0.0595238095238095
244,0.09068627450980354
928,0.14285714285714285
1612,0.13043478260869518
1573,0.4999999999999997
1990,0.05747126436781612
28,0.03838484546360923
1250,0.11111111111111116
329,0.17955056179775292
358,0.25
1192,0.021727609962902954
932,0.23529411764705888
1140,0.07600596125186283
1893,0.1666666666666666
958,0.047619047619047616
1921,0.031249999999999965
1607,0.3461538461538461
497,0.02702702702702705
1080,0.033333333333333826
1129,0.0624999999999999
726,0.02631578947368432
1039,0.11764705882352933
1374,0.2666666666666665
1943,0.22222222222222204
1176,0.039215686274509824
1352,0.0528846153846154
1644,0.1666666666666666
1997,0.13333333333333358
1030,0.038461538461538367
979,0.17829457364341092
1643,0.1060606060606063
409,0.13888888888888892
1461,0.24999999999999936
760,0.14509803921568631
1066,0.4999999999999997
1517,0.17647058823529393
1358,0.027777777777778
1939,0.11538461538461545
907,0.05259467040673198
1927,0.04736842105263159
535,0.08333333333333333
754,0.0557184750733138
664,0.10000000000000013
1635,0.035714285714285664
0,0.11111111111111109
1594,0.1666666666666666
52,0.08333333333333333
1694,0.075
165,0.05882352941176473
1,0.24999999999999994
343,0.12891737891737898
2011,0.27777777777777785
1850,0.007177033492821068
1181,0.4999999999999999
1106,0.1875
615,0.11111111111111113
348,0.11666666666666657
1739,0.049999999999999926
1574,0.07228915662650602
1963,0.18518518518518512
880,0.09090909090909116
1781,0.14285714285714282
1958,0.13333333333333328
557,0.05555555555555559
1558,0.1249999999999998
1121,0.1666666666666666
814,0.05555555555555559
91,0.047619047619047616
151,0.21428571428571427
49,0.119047619047619
758,0.11111111111111101
1379,4.163336342344337e-17
1784,0.10465116279069764
305,0.1874999999999998
304,0.1562500000000001
1614,0.11111111111111116
408,0.16666666666666669
1857,0.12121212121212122
80,0.055555555555555566
672,0.16666666666666669
1048,0.049999999999999954
1589,0.20000000000000012
1566,0.11764705882352919
619,0.2812499999999999
1393,0.04629629629629628
241,0.08333333333333333
580,0.18749999999999986
956,0.13333333333333325
1721,0.06250000000000001
1949,0.10958904109589039
922,0.13333333333333336
489,0.1666666666666666
1840,0.05555555555555553
1170,0.2499999999999999
224,0.028846153846153584
761,0.1
1955,0.06666666666666662
1419,0.06666666666666662
1065,0.1666666666666666
509,0.10000000000000032
1962,0.1249999999999998
70,0.09523809523809523
1068,0.030303030303030293
944,0.08333333333333368
1412,0.17578124999999942
1484,0.13793103448275862
453,0.08333333333333333
1282,0.006666666666666664
878,0.24999999999999992
1240,0.16666666666666666
418,0.17460317460317454
1172,0.05555555555555559
1201,0.25
1404,0.1875
789,0.047619047619047616
1502,0.09090909090909091
380,0.10085034013605443
1116,0.1999999999999999
1988,0.03703703703703703
1562,0.12500000000000003
974,0.08333333333333333
983,0.33333333333333337
1617,0.13333333333333325
1638,0.25000000000000017
2013,0.22222222222222215
833,0.12962962962962957
342,0.24193548387096775
1895,0.08333333333333333
1540,0.1666666666666666
1191,0.16666666666666666
1634,0.03333333333333391
1732,0.5
1892,0.33333333333333337
1647,0.09740259740259738
299,0.09523809523809523
107,0.22222222222222204
825,0.1666666666666666
874,0.08333333333333333
1667,0.33333333333333337
323,0.06666666666666662
1123,0.33333333333333337
1702,0.02777777777777779
1590,0.33333333333333337
207,0.11111111111111101
307,0.07500000000000034
458,0.33333333333333337
1561,0.015151515151515013
1239,0.07142857142857127
292,0.05555555555555559
623,0.24999999999999992
1669,0.09999999999999994
1727,0.08333333333333333
501,0.1999999999999999
1483,0.33333333333333337
1586,0.33333333333333337
1787,0.06250000000000001
1838,0.33333333333333337
