cart,purchase,view,view_to_cart,cart_to_purchase
5837.0,2594.0,418602.0,0.013944032756651903,0.4444063731368854
78.0,50.0,8784.0,0.008879781420765027,0.6410256410256411
1112.0,674.0,108284.0,0.010269291862140298,0.6061151079136691
68.0,35.0,2222.0,0.0306030603060306,0.5147058823529411
695.0,294.0,107803.0,0.006446944890216413,0.42302158273381296
395.0,91.0,95165.0,0.004150685651237325,0.23037974683544304
66.0,13.0,3342.0,0.019748653500897665,0.19696969696969696
0.0,1.0,436.0,0.0,inf
161.0,55.0,14692.0,0.010958344677375442,0.3416149068322981
321.0,84.0,32832.0,0.009777046783625731,0.2616822429906542
42.0,18.0,6065.0,0.0069249793899422915,0.42857142857142855
497.0,153.0,61600.0,0.008068181818181818,0.30784708249496984
34251.0,12166.0,2145875.0,0.01596132113939535,0.3552013079910076
57.0,32.0,6957.0,0.008193186718413108,0.5614035087719298
8.0,0.0,2802.0,0.0028551034975017845,0.0
6700.0,4341.0,767460.0,0.00873009668256326,0.647910447761194
111.0,102.0,25657.0,0.004326304712164322,0.918918918918919
153.0,72.0,23930.0,0.006393648140409528,0.47058823529411764
39.0,13.0,9661.0,0.004036849187454714,0.3333333333333333
19.0,7.0,3076.0,0.006176853055916775,0.3684210526315789
10.0,4.0,856.0,0.011682242990654205,0.4
61.0,13.0,9334.0,0.0065352474823226914,0.21311475409836064
74.0,23.0,3943.0,0.018767435962465127,0.3108108108108108
140.0,38.0,22636.0,0.006184838310655593,0.2714285714285714
299.0,129.0,33443.0,0.008940585473791228,0.431438127090301
481.0,179.0,91241.0,0.005271752830416151,0.37214137214137216
3380.0,1186.0,133614.0,0.025296750340533178,0.35088757396449705
12008.0,4923.0,331222.0,0.03625363049555887,0.40997668221185873
91.0,57.0,4354.0,0.02090032154340836,0.6263736263736264
81834.0,30340.0,2176417.0,0.03760033118653273,0.3707505437837574
15462.0,5969.0,318154.0,0.048599106093275585,0.38604320269046694
18394.0,8295.0,435725.0,0.04221469963853348,0.45096227030553443
2921.0,1504.0,90227.0,0.03237390138206967,0.514892160219103
17553.0,7080.0,510569.0,0.03437929055622257,0.4033498547256879
779.0,273.0,29471.0,0.02643276441247328,0.3504492939666239
3224.0,1256.0,207562.0,0.015532708299206983,0.38957816377171217
4821.0,1633.0,233929.0,0.020608817205220387,0.3387264053101016
8.0,1.0,96.0,0.08333333333333333,0.125
4696.0,1792.0,184999.0,0.025383920994167537,0.38160136286201024
6921.0,2342.0,282047.0,0.02453846344758143,0.3383904060106921
6938.0,2413.0,295081.0,0.02351218817883903,0.34779475353127703
3133.0,1276.0,115678.0,0.02708380158716437,0.4072773699329716
15399.0,6523.0,436829.0,0.03525178044497961,0.42359893499577894
10044.0,4309.0,312237.0,0.03216787248148041,0.42901234567901236
19987.0,8600.0,427686.0,0.04673288347058356,0.43027968179316556
7024.0,2966.0,225812.0,0.03110552140718828,0.4222665148063781
14782.0,6028.0,548454.0,0.026952123605625995,0.4077932620754972
52816.0,19291.0,1789545.0,0.029513647323761067,0.3652491669191154
647.0,277.0,30281.0,0.02136653346983257,0.4281298299845441
2053.0,943.0,61474.0,0.03339623255359989,0.4593278129566488
91807.0,35739.0,2122679.0,0.04325053387723721,0.38928404152188834
4706.0,2182.0,148192.0,0.031756100194342475,0.46366340841478965
1499.0,616.0,51012.0,0.029385242687994983,0.4109406270847232
6254.0,2907.0,150614.0,0.04152336436187871,0.46482251359130156
13867.0,4848.0,414121.0,0.03348538229164906,0.34960698060142786
16129.0,5698.0,470628.0,0.03427122908114264,0.3532767065534131
96.0,18.0,3663.0,0.02620802620802621,0.1875
909.0,449.0,72859.0,0.012476152568660014,0.49394939493949397
267.0,119.0,26524.0,0.010066354999245965,0.44569288389513106
8929.0,5266.0,613938.0,0.014543813870455974,0.5897636913428156
2566.0,916.0,81937.0,0.031316743351599396,0.35697583787996884
10324.0,3969.0,417542.0,0.024725656341158496,0.38444401394808214
56.0,46.0,14554.0,0.0038477394530713207,0.8214285714285714
2255.0,969.0,103928.0,0.021697713801862827,0.42971175166297115
2220.0,711.0,129835.0,0.017098625178110678,0.3202702702702703
5923.0,2271.0,148799.0,0.03980537503612255,0.3834205639034273
2442.0,1126.0,95871.0,0.0254717276340082,0.4610974610974611
1736.0,711.0,116985.0,0.014839509338804121,0.40956221198156684
1145.0,482.0,45799.0,0.0250005458634468,0.42096069868995634
4923.0,1951.0,227088.0,0.02167882054533925,0.3963030672354256
14969.0,6635.0,1029333.0,0.01454242698912791,0.4432493820562496
2346.0,728.0,74821.0,0.03135483353603935,0.3103154305200341
74426.0,33870.0,3187630.0,0.023348381085634154,0.4550829011366995
231.0,76.0,11257.0,0.02052056498178911,0.329004329004329
2735.0,1144.0,116954.0,0.023385262581869796,0.4182815356489945
6985.0,2643.0,306882.0,0.022761191598073528,0.37838224767358625
5047.0,2016.0,150007.0,0.033645096562160436,0.39944521497919555
13576.0,5189.0,353261.0,0.03843050888719672,0.38221862109605187
1237.0,583.0,62531.0,0.019782188034734773,0.47130153597413094
11332.0,4110.0,513416.0,0.022071770260373654,0.362689728203318
7733.0,2882.0,302558.0,0.02555873584568909,0.37268847795163584
334.0,110.0,31156.0,0.010720246501476441,0.32934131736526945
279.0,178.0,24683.0,0.011303326175910546,0.6379928315412187
591.0,181.0,36086.0,0.016377542537272072,0.3062605752961083
8581.0,2994.0,254862.0,0.03366920137172274,0.34891038340519753
1.0,1.0,155.0,0.0064516129032258064,1.0
23.0,3.0,1949.0,0.011800923550538737,0.13043478260869565
2845.0,860.0,127773.0,0.022266049947954576,0.3022847100175747
173.0,46.0,16683.0,0.010369837559191991,0.2658959537572254
0.0,0.0,192.0,0.0,
18.0,4.0,2781.0,0.006472491909385114,0.2222222222222222
225.0,76.0,10381.0,0.02167421250361237,0.3377777777777778
4162.0,2024.0,221061.0,0.018827382487186795,0.48630466122056704
181938.0,71181.0,2643728.0,0.06881872870431452,0.39123767437258844
1409.0,797.0,63736.0,0.02210681561440944,0.5656493967352733
2690.0,1118.0,95377.0,0.028203864663388447,0.41561338289962824
7329.0,4794.0,452529.0,0.016195647129797205,0.6541137945149407
764.0,385.0,30110.0,0.02537363002324809,0.5039267015706806
2125.0,743.0,102185.0,0.02079561579488183,0.3496470588235294
83948.0,38073.0,2821511.0,0.029752852283758596,0.4535307571353695
1708700.0,720067.0,25410136.0,0.06724481915405726,0.42141218470182007
31361.0,11722.0,764300.0,0.041032317152950415,0.37377634641752494
20170.0,8069.0,565620.0,0.03565998373466285,0.40004957858205253
565.0,181.0,35274.0,0.016017463287407156,0.32035398230088497
142145.0,51726.0,3113296.0,0.04565739974612115,0.36389602166801505
366.0,130.0,24849.0,0.014728962936134252,0.3551912568306011
890.0,359.0,38732.0,0.022978415780233397,0.40337078651685393
5983.0,2766.0,485241.0,0.012329955630295049,0.4623098779876316
312.0,189.0,23590.0,0.013225943196269605,0.6057692307692307
500.0,214.0,34511.0,0.014488134218075396,0.428
5165.0,2064.0,196223.0,0.02632209272103678,0.39961277831558567
2100.0,1006.0,143360.0,0.0146484375,0.47904761904761906
2804.0,1234.0,264855.0,0.010586924921183289,0.4400855920114123
1686.0,894.0,108947.0,0.015475414651160656,0.5302491103202847
2220.0,649.0,178929.0,0.012407155911003807,0.29234234234234235
108.0,50.0,11814.0,0.009141696292534281,0.46296296296296297
7960.0,4103.0,470468.0,0.01691932288699763,0.5154522613065327
1394.0,544.0,91735.0,0.015195944841118438,0.3902439024390244
2438.0,1514.0,48426.0,0.05034485606905381,0.6210008203445447
2009.0,939.0,133108.0,0.015093007182137812,0.4673967147834744
1514.0,699.0,70852.0,0.021368486422401627,0.4616908850726552
4186.0,1808.0,232357.0,0.018015381503462345,0.4319159101767797
1789.0,648.0,33499.0,0.053404579241171375,0.3622135271101174
2768.0,1294.0,224084.0,0.01235251066564324,0.467485549132948
226.0,77.0,15356.0,0.014717374316228184,0.3407079646017699
341.0,107.0,17033.0,0.0200199612516879,0.31378299120234604
94.0,36.0,5851.0,0.01606562980687062,0.3829787234042553
1415.0,521.0,69851.0,0.020257405047887648,0.36819787985865726
593.0,257.0,14318.0,0.04141639893839922,0.433389544688027
